Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
NBF3,24.48%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,8.90,,,
NBL,6.35%,"11.28
                                
                                    (FY:080-081, Q:4)",23.76,257.57,1.04,"10.00
                                
                                    (FY:078-079)","2.00
                                
                                    (FY:078-079)","100:23.74
                                
                                    (FY:072-073)"
NBLD85,21.12%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,975.00,,,
NBLD87,26.43%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,971.00,,,
NESDO,15.46%,"24.09
                                
                                    (FY:080-081, Q:3)",91.54,395.01,5.58,,,
NFS,567.43%,"2.48
                                
                                    (FY:080-081, Q:4)",826.21,137.52,14.90,"1.16
                                
                                    (FY:067-068)","22.00
                                
                                    (FY:067-068)","1:0.70
                                
                                    (FY:078-079)"
NGPL,120.30%,"2.05
                                
                                    (FY:080-081, Q:3)",229.22,165.15,2.85,"0.25
                                
                                    (FY:078-079)","4.75
                                
                                    (FY:078-079)","1:1.5
                                
                                    (FY:078-079)"
NHDL,80.28%,"13.97
                                
                                    (FY:080-081, Q:3)",46.46,116.37,5.58,"0.37
                                
                                    (FY:079-080)","7.00
                                
                                    (FY:079-080)",
NHPC,28.66%,"-0.62
                                
                                    (FY:080-081, Q:3)",-325.81,101.40,1.99,,,"10:5
                                
                                    (FY:079-080)"
NIBD84,20.24%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,010.00",,,
NIBLGF,25.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.80,,,
NIBLSTF,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,8.87,,,
NIBSF2,23.19%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,8.87,,,
NICA,-36.76%,"9.26
                                
                                    (FY:080-081, Q:4)",52.59,202.24,2.41,,,
NICAD8182,-0.46%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,005.00",,,
NICAD85/86,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,030.00",,,
NICBF,8.24%,"0.00
                                
                                    (FY:078-079, Q:9)",0.00,0.00,0.00,"9.25
                                
                                    (FY:080-081)",,
NICD88,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,965.00,,,
NICFC,26.35%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.50,"10.50
                                
                                    (FY:080-081)",,
NICGF,15.58%,"0.00
                                
                                    (FY:078-079, Q:8)",0.00,0.00,0.00,"9.50
                                
                                    (FY:080-081)",,
NICGF2,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,8.84,,,
NICL,38.69%,"49.82
                                
                                    (FY:080-081, Q:3)",20.25,210.33,4.80,,,"1:0.65
                                
                                    (FY:075-076)"
NICLBSL,17.98%,"0.10
                                
                                    (FY:080-081, Q:3)","7,820.00",161.06,4.86,,,
NICSF,23.30%,"0.00
                                
                                    (FY:078-079, Q:9)",0.00,0.00,0.00,"14.00
                                
                                    (FY:080-081)",,
NIFRA,49.42%,"6.16
                                
                                    (FY:080-081, Q:4)",49.92,117.54,2.62,,"8.00
                                
                                    (FY:077-078)",
NIFRAUR85/86,-10.86%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,0.00,,,
NIL,12.87%,"25.01
                                
                                    (FY:080-081, Q:3)",37.54,241.02,3.90,,,"1:1
                                
                                    (FY:073-074)"
NIMB,27.40%,"15.23
                                
                                    (FY:080-081, Q:4)",14.81,179.51,1.26,,,
NIMBD90,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
NIMBPO,23.29%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,180.00,,,
NLG,27.80%,"12.49
                                
                                    (FY:080-081, Q:3)",77.26,211.41,4.56,,,
NLIC,31.62%,"9.75
                                
                                    (FY:080-081, Q:3)",93.03,148.65,6.10,"21.05
                                
                                    (FY:079-080)",,
NLICL,18.31%,"9.94
                                
                                    (FY:080-081, Q:3)",70.22,134.38,5.19,,,"10:6
                                
                                    (FY:074-075)"
NMB,4.36%,"12.72
                                
                                    (FY:080-081, Q:4)",18.62,158.27,1.50,"8.25
                                
                                    (FY:078-079)","12.50
                                
                                    (FY:077-078)",
NMB50,4.57%,"0.00
                                
                                    (FY:076-077, Q:7)",0.00,0.00,0.00,"15.00
                                
                                    (FY:079-080)",,
NMBMF,39.88%,"-13.85
                                
                                    (FY:080-081, Q:3)",-56.96,126.20,6.25,,,"1:1.5
                                
                                    (FY:075-076)"
NMFBS,17.86%,"21.82
                                
                                    (FY:080-081, Q:3)",73.79,243.29,6.62,,,
NMLBBL,0.00%,"18.92
                                
                                    (FY:080-081, Q:3)",43.34,178.58,4.59,,,
NRIC,32.93%,"5.03
                                
                                    (FY:080-081, Q:2)",194.23,143.67,6.80,,,
NRM,58.51%,"-0.72
                                
                                    (FY:080-081, Q:3)",-733.33,87.81,6.01,,,
NRN,111.42%,"6.08
                                
                                    (FY:080-081, Q:3)",164.41,147.63,6.77,,,
NSIF2,25.14%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,11.30,,,
NTC,24.74%,"41.44
                                
                                    (FY:080-081, Q:3)",25.68,512.99,2.07,,"20.00
                                
                                    (FY:077-078)",
NUBL,27.40%,"8.98
                                
                                    (FY:080-081, Q:3)",91.65,186.10,4.42,,,
NWCL,0.00%,"-27.21
                                
                                    (FY:080-081, Q:3)",-41.38,75.14,14.99,,,
NYADI,44.98%,"-11.11
                                
                                    (FY:080-081, Q:4)",-32.49,66.02,5.47,,,
OHL,45.84%,"7.80
                                
                                    (FY:080-081, Q:3)",139.49,338.42,3.21,"5.26
                                
                                    (FY:079-080)","5.00
                                
                                    (FY:075-076)",
PBD84,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
PBD85,21.21%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,000.00",,,
PBD88,18.45%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,040.00",,,
PCBL,49.76%,"19.45
                                
                                    (FY:080-081, Q:4)",14.19,159.41,1.73,,,
PFL,76.25%,"-9.83
                                
                                    (FY:080-081, Q:4)",-64.08,123.50,5.10,,,"1:0.15
                                
                                    (FY:074-075)"
PHCL,45.33%,"2.04
                                
                                    (FY:080-081, Q:3)",209.80,99.51,4.30,,,
PMHPL,64.42%,"2.58
                                
                                    (FY:080-081, Q:3)",118.02,85.02,3.58,,,
PMLI,0.00%,"8.35
                                
                                    (FY:080-081, Q:3)",75.57,122.95,5.13,,,
PMLIP,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,275.40,,,
PPCL,31.25%,"-16.70
                                
                                    (FY:080-081, Q:3)",-19.64,98.13,3.34,,,
PPL,85.98%,"2.60
                                
                                    (FY:080-081, Q:3)",188.85,97.08,5.06,,,
PRIN,52.06%,"37.93
                                
                                    (FY:080-081, Q:3)",26.86,224.67,4.53,,,"1:0.46
                                
                                    (FY:074-075)"
PROFL,92.33%,"-4.49
                                
                                    (FY:080-081, Q:4)",-139.64,45.33,13.83,,,"1:2.81
                                
                                    (FY:074-075)"
PRSF,32.41%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.50,,,
PRVU,38.03%,"19.03
                                
                                    (FY:080-081, Q:4)",11.88,154.76,1.46,,,"10:4
                                
                                    (FY:072-073)"
PSF,21.57%,"0.00
                                
                                    (FY:079-080, Q:2)",0.00,0.00,0.00,"9.50
                                
                                    (FY:079-080)",,
RADHI,87.79%,"7.07
                                
                                    (FY:080-081, Q:3)",56.58,120.11,3.33,"0.25
                                
                                    (FY:079-080)","4.75
                                
                                    (FY:079-080)","1:1.4752
                                
                                    (FY:079-080)"
RAWA,85.91%,"1.03
                                
                                    (FY:080-081, Q:3)",645.63,79.90,8.32,,,
RBBD83,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,996.00,,,
RBCL,11.35%,"258.20
                                
                                    (FY:080-081, Q:3)",64.69,"6,573.14",2.54,"6.00
                                
                                    (FY:062-063)","114.27
                                
                                    (FY:062-063)",
RBCLPO,-5.53%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"12,800.00",,,
RFPL,64.63%,"-10.31
                                
                                    (FY:080-081, Q:3)",-39.28,83.58,4.85,,,
RHGCL,83.56%,"-14.63
                                
                                    (FY:080-081, Q:3)",-28.23,92.50,4.46,,,"100:33.16
                                
                                    (FY:074-075)"
RHPL,64.12%,"-0.53
                                
                                    (FY:080-081, Q:3)",-839.81,94.67,4.70,,,
RIDI,16.09%,"-6.81
                                
                                    (FY:080-081, Q:3)",-37.93,96.62,2.67,,,"1:0.5
                                
                                    (FY:080-081)"
RLFL,69.37%,"2.58
                                
                                    (FY:080-081, Q:4)",218.60,102.83,5.48,,,"10:4.5
                                
                                    (FY:073-074)"
RMF1,24.12%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.21,,,
RMF2,-2.59%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.17,,,
RNLI,0.00%,"9.78
                                
                                    (FY:080-081, Q:3)",55.02,155.74,3.46,,,
RSDC,46.93%,"15.53
                                
                                    (FY:080-081, Q:4)",51.38,124.50,6.41,,,
RURU,17.37%,"18.54
                                
                                    (FY:080-081, Q:3)",46.66,136.09,6.36,"10.53
                                
                                    (FY:079-080)","10.00
                                
                                    (FY:078-079)",
SADBL,51.09%,"15.17
                                
                                    (FY:080-081, Q:4)",30.18,144.81,3.16,,,
SAEF,6.94%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,11.87,"18.00
                                
                                    (FY:079-080)",,
SAGF,21.56%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.98,,,
SAHAS,44.15%,"18.22
                                
                                    (FY:080-081, Q:3)",35.84,174.95,3.73,,,
SALICO,22.27%,"24.17
                                
                                    (FY:080-081, Q:3)",34.55,239.05,3.49,,,
SAMAJ,"4,190.12%","22.45
                                
                                    (FY:080-081, Q:4)",123.83,229.97,12.09,"0.75
                                
                                    (FY:078-079)",,
SAND2085,-9.22%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,044.00",,,
SANIMA,11.56%,"17.54
                                
                                    (FY:080-081, Q:4)",18.70,154.35,2.13,,,"2:1
                                
                                    (FY:071-072)"
SAPDBL,94.19%,"2.70
                                
                                    (FY:080-081, Q:4)",173.33,78.85,5.94,"5.04
                                
                                    (FY:074-075)","3.00
                                
                                    (FY:074-075)","1:1.3
                                
                                    (FY:072-073)"
SARBTM,0.00%,"3.46
                                
                                    (FY:080-081, Q:3)",286.13,212.73,4.65,"15.00
                                
                                    (FY:079-080)",,
SBCF,20.53%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.16,,,
SBD87,27.05%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,996.10,,,
SBI,29.29%,"19.18
                                
                                    (FY:080-081, Q:4)",21.91,185.60,2.26,,,
SBID83,6.47%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,036.00",,,
SBID89,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,019.00",,,
SBL,25.91%,"21.40
                                
                                    (FY:080-081, Q:4)",14.69,196.36,1.60,,,
SBLD2082,-3.24%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,046.00",,,
SBLD84,17.75%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,995.00,,,
SBLD89,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,111.80",,,
SCB,25.99%,"35.09
                                
                                    (FY:080-081, Q:4)",19.92,218.04,3.21,,"10.00
                                
                                    (FY:077-078)",
SEF,8.17%,"0.00
                                
                                    (FY:078-079, Q:9)",0.00,0.00,0.00,"5.00
                                
                                    (FY:079-080)",,
SFCL,116.90%,"-11.30
                                
                                    (FY:080-081, Q:3)",-54.51,69.38,8.88,,,"2:1
                                
                                    (FY:078-079)"
SFEF,20.25%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.68,,,
SFMF,0.63%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,11.17,"16.00
                                
                                    (FY:079-080)",,
SGHC,78.92%,"-6.94
                                
                                    (FY:080-081, Q:3)",-61.38,77.41,5.50,,,
SGIC,21.99%,"13.40
                                
                                    (FY:080-081, Q:3)",52.16,142.66,4.90,,,
SHEL,-7.85%,"-1.48
                                
                                    (FY:080-081, Q:3)",-165.00,100.71,2.42,,,"1:1
                                
                                    (FY:080-081)"
SHINE,43.43%,"14.73
                                
                                    (FY:080-081, Q:4)",36.32,145.43,3.68,,,"2:1
                                
                                    (FY:069-070)"
SHIVM,23.10%,"5.42
                                
                                    (FY:080-081, Q:3)",129.48,188.19,3.73,,,
SHL,37.62%,"5.92
                                
                                    (FY:080-081, Q:3)",97.64,24.58,23.52,,,
SHLB,65.94%,"29.71
                                
                                    (FY:080-081, Q:3)",61.49,262.57,6.96,,,
SHPC,64.20%,"12.35
                                
                                    (FY:080-081, Q:3)",46.80,165.27,3.50,,,"1:1
                                
                                    (FY:073-074)"
SICL,14.83%,"19.60
                                
                                    (FY:080-081, Q:3)",46.22,199.49,4.54,,,"1:0.3
                                
                                    (FY:078-079)"
SIFC,78.60%,"6.81
                                
                                    (FY:080-081, Q:4)",90.46,136.65,4.51,,,(FY:10:8.3)
SIGS2,7.44%,"0.00
                                
                                    (FY:079-080, Q:9)",0.00,0.00,0.00,"6.50
                                
                                    (FY:079-080)",,
SIGS3,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.30,,,
SIKLES,108.75%,"8.20
                                
                                    (FY:080-081, Q:3)",95.98,108.57,7.25,"6.00
                                
                                    (FY:079-080)",,
SINDU,84.20%,"10.60
                                
                                    (FY:080-081, Q:4)",47.74,67.39,7.51,,,"10:8
                                
                                    (FY:072-073)"
SJCL,46.91%,"-4.60
                                
                                    (FY:080-081, Q:3)",-87.83,94.40,4.28,,,
SJLIC,-7.16%,"7.86
                                
                                    (FY:080-081, Q:3)",65.28,160.14,3.20,,,
SKBBL,12.53%,"18.73
                                
                                    (FY:080-081, Q:3)",52.27,239.71,4.08,,,
SLBBL,17.26%,"14.54
                                
                                    (FY:080-081, Q:3)",61.21,140.79,6.32,,,
SLBSL,43.40%,"-34.98
                                
                                    (FY:080-081, Q:3)",-35.71,110.22,11.33,,,
SLCF,20.44%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,9.25,,,
SMATA,60.00%,"7.11
                                
                                    (FY:080-081, Q:3)",141.77,129.97,7.76,,,
SMB,73.66%,"22.16
                                
                                    (FY:080-081, Q:4)",79.07,149.55,11.72,,,"1:2
                                
                                    (FY:072-073)"
SMFBS,21.31%,"1.64
                                
                                    (FY:080-081, Q:3)",909.76,142.50,10.47,,,
SMH,63.33%,"15.16
                                
                                    (FY:080-081, Q:3)",64.64,121.72,8.05,"11.50
                                
                                    (FY:077-078)",,
SMHL,94.99%,"5.73
                                
                                    (FY:080-081, Q:3)",122.16,105.16,6.66,"2.00
                                
                                    (FY:079-080)",,
SMJC,171.39%,"6.17
                                
                                    (FY:080-081, Q:3)",102.09,109.92,5.73,"10.00
                                
                                    (FY:078-079)",,
SNLI,0.00%,"16.62
                                
                                    (FY:080-081, Q:3)",37.73,176.02,3.56,,,
SONA,0.00%,"-12.05
                                
                                    (FY:080-081, Q:3)",-47.83,170.73,3.38,,,
SPC,65.33%,"-5.31
                                
                                    (FY:080-081, Q:3)",-116.76,108.84,5.70,,,
SPDL,71.66%,"2.45
                                
                                    (FY:080-081, Q:3)",131.02,110.45,2.91,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)","2:1
                                
                                    (FY:080-081)"
SPHL,98.25%,"2.78
                                
                                    (FY:080-081, Q:3)",244.60,91.05,7.47,,,
SPIL,39.97%,"28.37
                                
                                    (FY:080-081, Q:3)",35.92,254.59,4.00,"11.00
                                
                                    (FY:079-080)",,
SPL,22.30%,"-6.27
                                
                                    (FY:080-081, Q:3)",-130.78,87.23,9.40,,,
SRBLD83,-2.24%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,"1,046.00",,,
SRLI,13.48%,"9.71
                                
                                    (FY:080-081, Q:3)",59.84,126.99,4.58,,,
SSHL,29.35%,"-20.02
                                
                                    (FY:080-081, Q:3)",-10.59,25.39,8.35,,,
STC,21.66%,"21.60
                                
                                    (FY:080-081, Q:3)",288.33,534.06,11.66,,,
SWBBL,34.88%,"10.91
                                
                                    (FY:080-081, Q:3)",96.06,219.00,4.79,,,
SWMF,53.31%,"2.95
                                
                                    (FY:080-081, Q:3)",343.73,150.33,6.75,,,
TAMOR,99.23%,"-1.18
                                
                                    (FY:080-081, Q:3)",-437.29,96.89,5.33,,,
TPC,49.59%,"-6.55
                                
                                    (FY:080-081, Q:3)",-83.36,58.60,9.32,,,
TRH,52.27%,"22.65
                                
                                    (FY:080-081, Q:3)",50.29,137.19,8.30,,,
TSHL,0.00%,"-6.48
                                
                                    (FY:080-081, Q:3)",-120.22,76.21,10.22,,,
TVCL,0.00%,"-22.84
                                
                                    (FY:080-081, Q:3)",-23.12,71.59,7.38,,,
UAIL,33.35%,"17.41
                                
                                    (FY:080-081, Q:3)",43.25,184.32,4.09,,,
UHEWA,96.82%,"-0.23
                                
                                    (FY:080-081, Q:3)","-2,558.70",104.14,5.65,,,
ULBSL,111.32%,"9.17
                                
                                    (FY:080-081, Q:3)",293.36,232.15,11.59,,,
ULHC,0.00%,"0.00
                                
                                    (FY:080-081, Q:3)",0.00,100.00,4.29,,,
UMHL,70.85%,"2.16
                                
                                    (FY:080-081, Q:3)",157.41,104.09,3.27,,,"100:17.64
                                
                                    (FY:072-073)"
UMRH,29.37%,"7.15
                                
                                    (FY:080-081, Q:3)",74.18,111.37,4.76,"0.29
                                
                                    (FY:079-080)","5.50
                                
                                    (FY:079-080)",
UNHPL,68.36%,"2.73
                                
                                    (FY:080-081, Q:3)",109.16,97.62,3.05,,,
UNL,43.45%,"703.73
                                
                                    (FY:080-081, Q:3)",73.89,"4,725.41",11.00,"1,580.00
                                
                                    (FY:079-080)",,
UNLB,98.33%,"32.28
                                
                                    (FY:080-081, Q:4)",72.03,334.38,6.95,"1.00
                                
                                    (FY:079-080)","19.00
                                
                                    (FY:079-080)",
UPCL,44.88%,"4.37
                                
                                    (FY:080-081, Q:3)",65.45,106.35,2.69,"0.45
                                
                                    (FY:078-079)","8.55
                                
                                    (FY:078-079)",
UPPER,-43.75%,"-8.76
                                
                                    (FY:080-081, Q:3)",-24.32,63.25,3.37,,,"1:1
                                
                                    (FY:080-081)"
USHEC,126.17%,"4.10
                                
                                    (FY:080-081, Q:3)",135.10,96.65,5.73,,,
USHL,0.00%,"-2.07
                                
                                    (FY:080-081, Q:3)",-321.74,64.73,10.29,,,
USLB,122.89%,"5.32
                                
                                    (FY:080-081, Q:3)",314.10,145.13,11.51,,"30.00
                                
                                    (FY:077-078)","5:1
                                
                                    (FY:075-076)"
VLBS,60.82%,"5.94
                                
                                    (FY:080-081, Q:3)",169.21,146.91,6.84,,,
VLUCL,0.00%,"8.23
                                
                                    (FY:080-081, Q:3)",84.07,138.01,5.01,,,
WNLB,93.55%,"-8.03
                                
                                    (FY:080-081, Q:3)",-183.19,99.45,14.79,,,
